EthiopianMonth,EthMonNum,EthYear,RegionName,ZoneName,WoredaName,DeliveredPrivateClinics,DeliveredPublicClinics,DeliveredOther,DeliveredTotal
Ginbot,9th,2009,Oromia,East Wellega,Guto Gida,20,16,29,65
Tir,5th,2010,Oromia,Guji,Adola Reda,31,34,69,134
Tahesas,4th,2011,Oromia,Borena,Yabelo Rural,0,18,16,34
Hedar,3rd,2010,Oromia,North Shewa,Kimbibit,33,68,58,159
Ginbot,9th,2009,Oromia,Jimma,Nono Benja,64,45,12,121
Sene,10th,2010,Oromia,Arsi,Aseko,39,70,10,119
Hedar,3rd,2011,Oromia,West Wellega,Nejo Town,74,63,57,194
Megabit,7th,2009,Oromia,Borena,El Way,12,14,43,69
Nehase,12th,2009,Oromia,West Guji,Bule Hora,43,18,42,103
Ginbot,9th,2011,Oromia,Borena,Moyale,83,94,89,266
Yekatit,6th,2011,Oromia,West Wellega,Gimbi Public  Hospital,94,18,47,159
Meskerem,1st,2010,Oromia,East Hararge,Gole Oda,94,85,52,231
Hedar,3rd,2011,Oromia,Woliso Town,Woliso Town,46,63,20,129
Miyazia,8th,2010,Oromia,Arsi,Gololcha,72,53,84,209
Sene,10th,2010,Oromia,Qeleme Wellega,Gawo Qebe,84,69,79,232
Meskerem,1st,2010,Oromia,Finfine Zuria,Walmera,27,40,21,88
Tir,5th,2011,Oromia,East Wellega,Leqa Dulecha,76,91,6,173
Ginbot,9th,2011,Oromia,West Shewa,Gojo Hospital,63,94,43,200
Meskerem,1st,2011,Oromia,East Hararge,Haromaya Rural,91,84,67,242
Yekatit,6th,2010,Oromia,West Guji,Abaya,35,30,55,120
Nehase,12th,2010,Oromia,Guji,Bore Hospital,44,30,51,125
Megabit,7th,2009,Oromia,East Wellega,Guto Gida,90,30,15,135
Hamle,11th,2010,Oromia,Borena,Moyale Hospital,86,99,59,244
Miyazia,8th,2009,Oromia,Burayu Town,Burayu Town,63,48,6,117
Miyazia,8th,2011,Oromia,West Shewa,Chelia,91,14,84,189
Hedar,3rd,2010,Oromia,Qeleme Wellega,Dale Sedi,77,82,77,236
Tir,5th,2011,Oromia,Qeleme Wellega,Hawa Gelan Hosp,0,66,32,98
Megabit,7th,2009,Oromia,East Shewa,Fentale,66,35,15,116
Tahesas,4th,2010,Oromia,Horo Gudru Wellega,Amuru,50,50,23,123
Sene,10th,2009,Oromia,Finfine Zuria,Akaki,84,39,73,196
Hedar,3rd,2011,Oromia,West Wellega,Yubdo,98,9,21,128
Yekatit,6th,2009,Oromia,West Shewa,Ejersa Lafo,70,59,73,202
Tahesas,4th,2010,Oromia,West Hararge,Tulo,63,49,8,120
Tahesas,4th,2011,Oromia,North Shewa,Kuyu,29,96,57,182
Nehase,12th,2009,Oromia,West Wellega,Mendi Town,79,11,91,181
Nehase,12th,2010,Oromia,East Hararge,Chinakesen,1,26,91,118
Meskerem,1st,2010,Oromia,West Hararge,Tulo,56,47,13,116
Hedar,3rd,2010,Oromia,Arsi,Enkelo Wabe,27,61,41,129
Sene,10th,2011,Oromia,Borena,Moyale,2,88,48,138
Hamle,11th,2010,Oromia,Modjo Town,Modjo Town,91,0,24,115
Nehase,12th,2009,Oromia,East Shewa,Boset,44,68,5,117
Yekatit,6th,2009,Oromia,Arsi,Deksis,89,50,98,237
Meskerem,1st,2010,Oromia,Guji,Girja,43,39,17,99
Hedar,3rd,2010,Oromia,West Wellega,Guliso,31,35,21,87
Hedar,3rd,2010,Oromia,West Wellega,Jarso,71,66,6,143
Tahesas,4th,2010,Oromia,West Wellega,Gimbi Adventist Hospital,3,16,19,38
Tir,5th,2009,Oromia,West Shewa,Ejersa Lafo,9,38,79,126
Tahesas,4th,2011,Oromia,Bale,Goba Town,16,6,3,25
Nehase,12th,2009,Oromia,Bale,Goba Town,5,38,32,75
Yekatit,6th,2011,Oromia,West Shewa,Tibe Kutaye,91,59,4,154
Tir,5th,2010,Oromia,East Wellega,Leqa Dulecha,99,72,18,189
Tir,5th,2011,Oromia,South West Shewa,St.Luke Hospital,63,71,88,222
Yekatit,6th,2009,Oromia,West Shewa,Midakegni,39,81,94,214
Sene,10th,2010,Oromia,West Shewa,Codi,69,72,56,197
Tir,5th,2011,Oromia,West Shewa,Adea Berga,73,34,92,199
Tir,5th,2010,Oromia,Horo Gudru Wellega,Gudru,74,31,13,118
Tir,5th,2011,Oromia,East Wellega,Boneya Bushe,89,18,7,114
Tir,5th,2009,Oromia,Ilu Aba Bora,Bilonopa,12,42,10,64
Yekatit,6th,2010,Oromia,West Arsi,Adaba,10,97,78,185
Hedar,3rd,2010,Oromia,South West Shewa,St.Luke Hospital,38,77,67,182
Meskerem,1st,2010,Oromia,Finfine Zuria,Berreh,15,33,67,115
